Уровень	Дата и время	Источник	Код события	Категория задачи
Сведения	31.10.2023 12:49:52	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Настройки проверки: Уровень безопасности: Рекомендуемый, Эвристический анализ: Средний, Действие при обнаружении угрозы: Лечить. Удалять, если лечение невозможно
Компонент: Поиск вредоносного ПО
Тип объекта: Подсистема
Название объекта: Поиск вредоносного ПО"
Сведения	31.10.2023 12:48:19	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Настройки проверки: Уровень безопасности: Рекомендуемый, Эвристический анализ: Средний, Действие при обнаружении угрозы: Лечить. Удалять, если лечение невозможно
Компонент: Поиск вредоносного ПО
Тип объекта: Подсистема
Название объекта: Поиск вредоносного ПО"
Сведения	30.10.2023 10:13:36	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Компонент: Защита"
Сведения	30.10.2023 10:13:36	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Компонент: Защита"
Сведения	30.10.2023 10:13:11	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Компонент: Защита"
Ошибка	30.10.2023 10:00:17	avp	302	Отсутствует	"Тип события: Обнаружен вредоносный объект
Название: msedge.exe
Путь к приложению: C:\Program Files (x86)\Microsoft\Edge\Application
ID процесса: 8572
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Компонент: Защита от файловых угроз
Описание результата: Обнаружено
Тип: Троянское приложение
Название: UDS:Trojan.MSIL.Zapchast.sbbi
Степень угрозы: Точно
Точность: Высокая
Тип объекта: Файл
Путь к объекту: C:\Users\admin\Downloads
Название объекта: metasploit-framework-master.zip
Причина: Облачный анализ
SHA256: 8C6A2C445478D5AE00D0B90EF9ECA6A085B1AEF162906D7BD7D072D6E7C10E2D
MD5: EC88031ADE5A7F54F1CFE793CA4A0EEC"
Ошибка	30.10.2023 9:34:45	avp	302	Отсутствует	"Тип события: Обнаружен вредоносный объект
Название: SearchProtocolHost.exe
Путь к приложению: C:\Windows\System32
ID процесса: 8472
Пользователь: WORKGROUP\DESKTOP-D8PJOFQ$ (Инициатор)
Компонент: Защита от файловых угроз
Описание результата: Обнаружено
Тип: Троянское приложение
Название: HEUR:Trojan.Script.Generic
Степень угрозы: Эвристический анализ
Точность: Высокая
Тип объекта: Файл
Путь к объекту: C:\Users\admin\Documents
Название объекта: Script.doc.js
Причина: Экспертный анализ
Дата выпуска баз: 29.10.2023 18:30:00
SHA256: A7D49449D30CE13CC57C6DCC32F0443ABD2A93C961038F95825F05E7DFBC6C9D
MD5: 58D0816AF3D8007D0E0908C40C64EFF2"
Сведения	30.10.2023 9:33:40	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Настройки проверки: Уровень безопасности: Рекомендуемый, Эвристический анализ: Средний, Действие при обнаружении угрозы: Блокировать
Компонент: Поиск вредоносного ПО
Тип объекта: Подсистема
Название объекта: Поиск вредоносного ПО"
Ошибка	30.10.2023 9:32:19	avp	302	Отсутствует	"Тип события: Обнаружен вредоносный объект
Название: explorer.exe
Путь к приложению: C:\Windows
ID процесса: 5444
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Компонент: Защита от файловых угроз
Описание результата: Обнаружено
Тип: Троянское приложение
Название: HEUR:Trojan.Script.Generic
Степень угрозы: Эвристический анализ
Точность: Высокая
Тип объекта: Процесс
Путь к объекту: C:\Users\admin\Documents
Название объекта: Script.doc.js
Причина: Экспертный анализ
Дата выпуска баз: 29.10.2023 18:30:00
SHA256: A7D49449D30CE13CC57C6DCC32F0443ABD2A93C961038F95825F05E7DFBC6C9D
MD5: 58D0816AF3D8007D0E0908C40C64EFF2"
Сведения	30.10.2023 9:32:12	avp	218	Отсутствует	"Тип события: Изменены настройки приложения
Название: avp.exe
Путь к приложению: C:\Program Files (x86)\Kaspersky Lab\KES.12.3.0
ID процесса: 18446744073709551615
Пользователь: DESKTOP-D8PJOFQ\admin (Инициатор)
Компонент: Защита"
